Symbol	Description
IMR	Imetal Resources Inc
IMT	International Montoro Res. Inc
INP	Input Capital Corp
INX	Intouch Insight Ltd
IO	Inca One Gold Corp
IOG	Ironhorse Oil & Gas Inc
IOM	Assure Holdings Corp
ION	Alset Minerals Corp
IOT	Innovotech Inc
IOU	Iou Financial Inc
IPA	Immunoprecise Antibodies Ltd
IPC	Iplayco Corporation Ltd
IPD	International Parkside Products Inc
IPT	Impact Silver Corp
IQ	Airiq Inc
IRC	Ironside Resources Inc
IRI	Iemr Resources Inc
IRO	Inter-Rock Minerals Inc
IRR	Inform Resources Corp
ISD	Isign Media Solutions Inc
ISO	Isoenergy Ltd
ISS	International Samuel Exploration Corp
ITG	Intact Gold Corp
ITM	Intema Solutions Inc
ITR	Integra Resources Corp.
ITT	Internet of Things Inc
IVC	Interconnect Ventures Corp
IVF.H	Invictus Financial Inc
IVI	Ivrnet Inc
IVS	Inventus Mining Corp
IVX	Inventronics Limited
IXI	Indigo Exploration Inc
IZN	Inzinc Mining Ltd
IZZ	International Prospect Ventures Ltd
JAX	Jaxon Mining Inc
JCO	Jericho Oil Corp
JDN	Jayden Resources Inc
JEC	Jura Energy Corp
JEN	The Jenex Corporation
